Лог был сохранен в архив "log api 08.04.2025, 22_14_01.txt" и очищен
09.04.2025, 00:51:39 api/system(FileUpdateTracker) Файл принят под наблюдение > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:51:39 api/system(JsonMap) Карта успешно загружена > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:51:39 api/system(FileUpdateTracker) В наблюдаемом пространстве обнаружено изменение файла > update C:\GitWorkspace\Vid2Gif\vid2gif\public\configuration.json
09.04.2025, 00:55:31 api/system(AdverterBuilderManager) Сервис запущен > 
09.04.2025, 00:55:31 api/system(Configuration) Путь файла карты изменился > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:55:32 api/system(FileUpdateTracker) Файл принят под наблюдение > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:55:32 api/system(JsonMap) Карта успешно загружена > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:56:14 api/system(AdverterBuilderManager) Сервис запущен > 
09.04.2025, 00:56:14 api/system(Configuration) Путь файла карты изменился > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:56:15 api/system(FileUpdateTracker) Файл принят под наблюдение > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:56:15 api/system(JsonMap) Карта успешно загружена > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:56:33 api/system(AdverterBuilderManager) Сервис запущен > 
09.04.2025, 00:56:33 api/system(Configuration) Путь файла карты изменился > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:56:34 api/system(FileUpdateTracker) Файл принят под наблюдение > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:56:34 api/system(JsonMap) Карта успешно загружена > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:57:13 api/system(AdverterBuilderManager) Сервис запущен > 
09.04.2025, 00:57:13 api/system(Configuration) Путь файла карты изменился > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:57:13 api/system(FileUpdateTracker) Файл принят под наблюдение > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:57:13 api/system(JsonMap) Карта успешно загружена > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:57:25 api/system(AdverterBuilderManager) Сервис запущен > 
09.04.2025, 00:57:25 api/system(Configuration) Путь файла карты изменился > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:57:25 api/system(FileUpdateTracker) Файл принят под наблюдение > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:57:25 api/system(JsonMap) Карта успешно загружена > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:57:47 api/system(AdverterBuilderManager) Сервис запущен > 
09.04.2025, 00:57:47 api/system(Configuration) Путь файла карты изменился > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:57:48 api/system(FileUpdateTracker) Файл принят под наблюдение > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:57:48 api/system(JsonMap) Карта успешно загружена > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:58:09 api/system(AdverterBuilderManager) Сервис запущен > 
09.04.2025, 00:58:09 api/system(Configuration) Путь файла карты изменился > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:58:10 api/system(FileUpdateTracker) Файл принят под наблюдение > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:58:10 api/system(JsonMap) Карта успешно загружена > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:58:27 api/system(AdverterBuilderManager) Сервис запущен > 
09.04.2025, 00:58:27 api/system(Configuration) Путь файла карты изменился > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:58:27 api/system(FileUpdateTracker) Файл принят под наблюдение > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:58:27 api/system(JsonMap) Карта успешно загружена > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:58:43 api/system(AdverterBuilderManager) Сервис запущен > 
09.04.2025, 00:58:43 api/system(Configuration) Путь файла карты изменился > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
09.04.2025, 00:58:44 api/system(FileUpdateTracker) Файл принят под наблюдение > C:\GitWorkspace\Vid2Gif\vid2gif/public/configuration.json
